Species	Life stage	Individual	Unclassified;Other;Other	k__Archaea;p__Crenarchaeota;c__MCG	k__Archaea;p__Crenarchaeota;c__Thaumarchaeota	k__Archaea;p__Euryarchaeota;Other	k__Archaea;p__Euryarchaeota;c__Methanobacteria	k__Archaea;p__Euryarchaeota;c__Methanomicrobia	k__Archaea;p__Euryarchaeota;c__Thermoplasmata	k__Archaea;p__Euryarchaeota;c__[Parvarchaea]	k__Bacteria;Other;Other	k__Bacteria;p__Acidobacteria;c__	k__Bacteria;p__Acidobacteria;c__Acidobacteria	k__Bacteria;p__Acidobacteria;c__Acidobacteria-2	k__Bacteria;p__Acidobacteria;c__Acidobacteria-5	k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	k__Bacteria;p__Acidobacteria;c__Chloracidobacteria	k__Bacteria;p__Acidobacteria;c__Holophagae	k__Bacteria;p__Acidobacteria;c__Solibacteres	k__Bacteria;p__Acidobacteria;c__iii1-8	k__Bacteria;p__Actinobacteria;Other	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	k__Bacteria;p__Actinobacteria;c__Actinobacteria	k__Bacteria;p__Actinobacteria;c__MB-A2-108	k__Bacteria;p__Actinobacteria;c__Rubrobacteria	k__Bacteria;p__Actinobacteria;c__Thermoleophilia	k__Bacteria;p__Armatimonadetes;c__Armatimonadia	k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadetes]	k__Bacteria;p__Bacteroidetes;Other	k__Bacteria;p__Bacteroidetes;c__Bacteroidia	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	k__Bacteria;p__Chlamydiae;c__Chlamydiia	k__Bacteria;p__Chlorobi;Other	k__Bacteria;p__Chlorobi;c__Ignavibacteria	k__Bacteria;p__Chloroflexi;Other	k__Bacteria;p__Chloroflexi;c__	k__Bacteria;p__Chloroflexi;c__Anaerolineae	k__Bacteria;p__Chloroflexi;c__Bljii12	k__Bacteria;p__Chloroflexi;c__Chloroflexi	k__Bacteria;p__Chloroflexi;c__Ellin6529	k__Bacteria;p__Chloroflexi;c__Ktedonobacteria	k__Bacteria;p__Chloroflexi;c__TK17	k__Bacteria;p__Chloroflexi;c__Thermobacula	k__Bacteria;p__Chloroflexi;c__Thermomicrobia	k__Bacteria;p__Cyanobacteria;Other	k__Bacteria;p__Cyanobacteria;c__4C0d-2	k__Bacteria;p__Cyanobacteria;c__Chloroplast	k__Bacteria;p__Cyanobacteria;c__S15B-MN24	k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae	k__Bacteria;p__Deferribacteres;c__Deferribacteres	k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	k__Bacteria;p__Fibrobacteres;c__Fibrobacteria	k__Bacteria;p__Firmicutes;Other	k__Bacteria;p__Firmicutes;c__Bacilli	k__Bacteria;p__Firmicutes;c__Clostridia	k__Bacteria;p__Firmicutes;c__Erysipelotrichi	k__Bacteria;p__Firmicutes;c__RF3	k__Bacteria;p__Fusobacteria;c__Fusobacteria	k__Bacteria;p__GN02;c__BD1-5	k__Bacteria;p__Gemmatimonadetes;c__Gemm-1	k__Bacteria;p__Gemmatimonadetes;c__Gemm-3	k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes	k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	k__Bacteria;p__Nitrospirae;c__Nitrospira	k__Bacteria;p__OD1;Other	k__Bacteria;p__OD1;c__Mb-NB09	k__Bacteria;p__OD1;c__ZB2	k__Bacteria;p__OP11;c__OP11-3	k__Bacteria;p__OP11;c__WCHB1-64	k__Bacteria;p__Planctomycetes;c__C6	k__Bacteria;p__Planctomycetes;c__Phycisphaerae	k__Bacteria;p__Planctomycetes;c__Planctomycetia	k__Bacteria;p__Planctomycetes;c__vadinHA49	k__Bacteria;p__Proteobacteria;Other	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	k__Bacteria;p__SR1;c__	k__Bacteria;p__Spirochaetes;Other	k__Bacteria;p__Spirochaetes;c__Spirochaetes	k__Bacteria;p__Synergistetes;c__Synergistia	k__Bacteria;p__TM6;c__SBRH58	k__Bacteria;p__TM7;c__SC3	k__Bacteria;p__TM7;c__TM7-3	k__Bacteria;p__Tenericutes;c__Mollicutes	k__Bacteria;p__Thermi;c__Deinococci	k__Bacteria;p__Verrucomicrobia;Other	k__Bacteria;p__Verrucomicrobia;c__Opitutae	k__Bacteria;p__Verrucomicrobia;c__Verruco-5	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae]	k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria]	k__Bacteria;p__WPS-2;c__	k__Bacteria;p__WYO;c__
Varecia variegata	birth	Carmen	0.000190568	0.000238818	0	0	0.000119899	1.71E-05	3.70E-05	0	0.000902643	0	0	0	0	3.41E-05	5.99E-05	0	0	0	0	2.00E-05	0.000196417	0	0	0.00022176	0	0	1.71E-05	0.001269155	0.000464973	0.000952364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.41E-05	0.000165225	0	0	0	0	0	1.71E-05	0.042240592	0.001402207	1.71E-05	0	7.99E-05	0	0	0	0.000139882	1.71E-05	0	0	0	5.12E-05	0	0	0	0	0	0	8.53E-05	0.000843184	0.000817841	2.00E-05	3.41E-05	0.949099977	0	0	3.41E-05	0	0	0	0	0	0	0	0	2.00E-05	0.000119409	0	2.00E-05	0	0
Varecia variegata	birth	Puck	0.000230506	0	0.000123965	0	0	0	0	0	0.000869755	0	0	0	0	0.000120109	0	0	0	0	0	0	0.000275065	0	0	0.000257788	0	0	0	0.001648537	0	0.000292489	0	8.14E-05	0	0	0	9.50E-05	0	0	0	0	0	0	0	0	8.33E-05	0.000214938	0	1.74E-05	0	1.74E-05	0	0	0.078304723	0.00179178	0	0	0	0	0	0	0	1.36E-05	0	0	0	1.74E-05	0	0	5.23E-05	0	0	0	0.000118108	0.000401031	0.000798206	8.33E-05	0	0.913882761	0	0	1.74E-05	0	0	0	0	9.30E-05	0	0	1.74E-05	0	8.14E-05	0	0	0	0
Varecia variegata	birth	Titan	9.67E-05	0	0	0	0	0	0	0	0.001160736	0.000383644	0	0	0	0	0	0	0	0	0	0	0.000898923	0	0	0	0	0	0	0.141357302	1.60E-05	0	0	0	0	0	0	0	0	1.60E-05	1.29E-05	0	0	0	0	0	0.000476464	0.001171466	0	0.000116445	0	0.000213106	0	0	0.041566664	0.008966094	0.00401272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181136	0	0	0.000334143	0.000289985	0.007037407	0.000414069	0	0.788469504	0	0	0.002059703	0	0	0	0	0.000321956	0	0	0	0	0	0	0.000426963	0	0
Varecia variegata	nursing	Carmen	0.000417567	0	1.12E-05	0	0	0	1.20E-05	0	0.00420299	1.12E-05	0	0	0	0	2.39E-05	0	0	0	0	0	0.002209698	0	0	0	0	0	1.12E-05	0.516927116	0	2.25E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.16E-05	1.20E-05	0	0	2.25E-05	2.32E-05	0	0.000443701	0.034293747	0.042884535	0.000428066	0	6.74E-05	0	0	0	1.12E-05	0	0	0	0	0	0	0	0	0	1.12E-05	0	5.84E-05	4.57E-05	0.00107101	0.012410295	0	0.384125957	0	0	4.57E-05	0	0	0	0	5.84E-05	1.12E-05	0	2.25E-05	2.25E-05	0	0	0	0	0
Varecia variegata	nursing	Puck	0.000147526	0	0	0	0	0	0	0	0.003270798	0	0	0	2.56E-05	2.56E-05	2.32E-05	0	0	0	0	0	0.102736466	0	3.48E-05	6.16E-05	0	0	1.28E-05	0.17655702	1.28E-05	0.000102388	0	0	0	0	2.56E-05	0	0	1.28E-05	0	0	0	0	0	0	7.56E-05	0.000275511	0	0	0	0	1.28E-05	0.000510889	0.224950511	0.028163636	0.00496363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000173123	0.000155479	0.004722881	0.011669503	0	0.404892351	0	0	7.44E-05	0.000190241	0	0	0	0.00010913	3.48E-05	1.16E-05	0.00027014	0.000147526	0.03546272	2.56E-05	5.91E-05	0	0
Varecia variegata	nursing	Titan	0.00015619	0	7.39E-05	0	0	0	0	0	0.002791216	0	0	0	0	0	0	0	3.62E-05	0	0	0	0.098761228	0	0	0	0	0	1.21E-05	0.45692464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.70E-05	0	5.39E-05	0.000339353	1.21E-05	0	0	0	0	0.000137061	0.063781648	0.055781214	0.001067936	0	2.42E-05	0	0	0	4.83E-05	1.21E-05	0	0	0	0	0	0	0	0	6.74E-05	0	7.53E-05	0.000212334	0.000632604	0.005444126	0	0.312995505	0	0	6.32E-05	3.62E-05	1.21E-05	0	0	0.000129218	0	0	1.21E-05	0.000127807	0.000124985	0	2.70E-05	0	0
Varecia variegata	intro solids	Carmen	0.000135033	0	0	0	0	0	2.70E-05	0	0.002067503	0	0	0	0	0	0.000134481	0	0	0	0	0	0.101926034	0	0	0	0	0	0	0.534275536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000229308	0	0	0	1.34E-05	0	0	0.000351032	0.082108355	0.084187411	0.005269342	0	0.000783857	1.34E-05	0	0	0	4.03E-05	8.07E-05	0	0	0	0	1.36E-05	0	0	0	0	2.70E-05	0.000825168	0.003137637	0.026490119	0	0.156391817	0	0	0.000540824	0.000147929	0	5.38E-05	0	0.000176068	2.69E-05	0	0	0.000257171	6.74E-05	0	0.000201721	0	0
Varecia variegata	intro solids	Puck	0.000142598	0	0	0	0.00072702	0	0	1.41E-05	0.001892597	1.61E-05	0	0	0	0.00056417	0.000290145	0	0	0	0	0	0.168377393	0	0	0.000644766	0	0	1.41E-05	0.265070827	1.41E-05	0.000756784	0.00014673	0	0	0	0	0	0	0	0	0	0	0	0	0	4.42E-05	0.000419098	0	0	0	1.61E-05	0	0.000142598	0.19344863	0.055960214	0.008066765	0	0.000196745	3.22E-05	0	0	0.00043565	4.22E-05	0.000252958	0	2.81E-05	8.43E-05	0	0	0	0	0	0	0.000237247	0.00087375	0.006732549	0.0197749	0	0.266614592	0	0	0.000575341	0.001547055	0	0	0	0.000631554	9.05E-05	3.02E-05	0.000154586	0.000132677	0.004250991	0	0.000512931	0	0
Varecia variegata	intro solids	Titan	0.000147143	0	0	0	0.000335328	0	4.56E-05	0	0.002642198	0	0	0	0	0	1.24E-05	0	0	0	0	0	0.105584114	2.47E-05	0	3.71E-05	0	0	0	0.246216762	1.04E-05	3.71E-05	0	0	0	0	0	0	0	1.24E-05	0	0	0	0	0	0	3.52E-05	0	0	0	0.000126315	0.000110021	0	0.000331408	0.043525284	0.079793682	0.054697811	0	1.24E-05	0	0	0	0	3.12E-05	0	0	0	3.12E-05	0	0	0	2.47E-05	0	0	0.000819028	0.000157557	0.02770088	0.004851681	0	0.428214358	0	0	0.000145183	0.000159517	0	0	0	4.75E-05	0	0	5.21E-05	2.28E-05	0.003952765	0	5.21E-05	0	0
Varecia variegata	regular solids	Carmen	0.00015083	0	0	0	0.000779263	0.001698479	0.000550122	0	0.014260695	0	0	0	0	0	0	0	0	0	0	0	0.001425569	0	0	0	0	0	0.000346877	0.488264614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004507215	3.59E-05	0	0	0	0.000603281	0.000772065	0.000932868	0.003260563	0.264480547	0.008710154	0.000177389	1.01E-05	0	0	0	0	0.001559893	0	0	0	0	0	0	0	0	0	0	0.000661445	0.008853786	0.012591751	0.0147924	0.000338272	0.01368355	0	1.80E-05	0.118556039	0.001968493	0	0	0.000294463	0.015679427	0	7.33E-05	9.98E-05	7.90E-06	0.019844994	0	1.01E-05	0	0
