Species	Life stage	Individual	Unclassified;Other;Other	k__Archaea;p__Crenarchaeota;c__MCG	k__Archaea;p__Crenarchaeota;c__Thaumarchaeota	k__Archaea;p__Euryarchaeota;Other	k__Archaea;p__Euryarchaeota;c__Methanobacteria	k__Archaea;p__Euryarchaeota;c__Methanomicrobia	k__Archaea;p__Euryarchaeota;c__Thermoplasmata	k__Archaea;p__Euryarchaeota;c__[Parvarchaea]	k__Bacteria;Other;Other	k__Bacteria;p__Acidobacteria;c__	k__Bacteria;p__Acidobacteria;c__Acidobacteria	k__Bacteria;p__Acidobacteria;c__Acidobacteria-2	k__Bacteria;p__Acidobacteria;c__Acidobacteria-5	k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	k__Bacteria;p__Acidobacteria;c__Chloracidobacteria	k__Bacteria;p__Acidobacteria;c__Holophagae	k__Bacteria;p__Acidobacteria;c__Solibacteres	k__Bacteria;p__Acidobacteria;c__iii1-8	k__Bacteria;p__Actinobacteria;Other	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	k__Bacteria;p__Actinobacteria;c__Actinobacteria	k__Bacteria;p__Actinobacteria;c__MB-A2-108	k__Bacteria;p__Actinobacteria;c__Rubrobacteria	k__Bacteria;p__Actinobacteria;c__Thermoleophilia	k__Bacteria;p__Armatimonadetes;c__Armatimonadia	k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadetes]	k__Bacteria;p__Bacteroidetes;Other	k__Bacteria;p__Bacteroidetes;c__Bacteroidia	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	k__Bacteria;p__Chlamydiae;c__Chlamydiia	k__Bacteria;p__Chlorobi;Other	k__Bacteria;p__Chlorobi;c__Ignavibacteria	k__Bacteria;p__Chloroflexi;Other	k__Bacteria;p__Chloroflexi;c__	k__Bacteria;p__Chloroflexi;c__Anaerolineae	k__Bacteria;p__Chloroflexi;c__Bljii12	k__Bacteria;p__Chloroflexi;c__Chloroflexi	k__Bacteria;p__Chloroflexi;c__Ellin6529	k__Bacteria;p__Chloroflexi;c__Ktedonobacteria	k__Bacteria;p__Chloroflexi;c__TK17	k__Bacteria;p__Chloroflexi;c__Thermobacula	k__Bacteria;p__Chloroflexi;c__Thermomicrobia	k__Bacteria;p__Cyanobacteria;Other	k__Bacteria;p__Cyanobacteria;c__4C0d-2	k__Bacteria;p__Cyanobacteria;c__Chloroplast	k__Bacteria;p__Cyanobacteria;c__S15B-MN24	k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae	k__Bacteria;p__Deferribacteres;c__Deferribacteres	k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	k__Bacteria;p__Fibrobacteres;c__Fibrobacteria	k__Bacteria;p__Firmicutes;Other	k__Bacteria;p__Firmicutes;c__Bacilli	k__Bacteria;p__Firmicutes;c__Clostridia	k__Bacteria;p__Firmicutes;c__Erysipelotrichi	k__Bacteria;p__Firmicutes;c__RF3	k__Bacteria;p__Fusobacteria;c__Fusobacteria	k__Bacteria;p__GN02;c__BD1-5	k__Bacteria;p__Gemmatimonadetes;c__Gemm-1	k__Bacteria;p__Gemmatimonadetes;c__Gemm-3	k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes	k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	k__Bacteria;p__Nitrospirae;c__Nitrospira	k__Bacteria;p__OD1;Other	k__Bacteria;p__OD1;c__Mb-NB09	k__Bacteria;p__OD1;c__ZB2	k__Bacteria;p__OP11;c__OP11-3	k__Bacteria;p__OP11;c__WCHB1-64	k__Bacteria;p__Planctomycetes;c__C6	k__Bacteria;p__Planctomycetes;c__Phycisphaerae	k__Bacteria;p__Planctomycetes;c__Planctomycetia	k__Bacteria;p__Planctomycetes;c__vadinHA49	k__Bacteria;p__Proteobacteria;Other	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	k__Bacteria;p__SR1;c__	k__Bacteria;p__Spirochaetes;Other	k__Bacteria;p__Spirochaetes;c__Spirochaetes	k__Bacteria;p__Synergistetes;c__Synergistia	k__Bacteria;p__TM6;c__SBRH58	k__Bacteria;p__TM7;c__SC3	k__Bacteria;p__TM7;c__TM7-3	k__Bacteria;p__Tenericutes;c__Mollicutes	k__Bacteria;p__Thermi;c__Deinococci	k__Bacteria;p__Verrucomicrobia;Other	k__Bacteria;p__Verrucomicrobia;c__Opitutae	k__Bacteria;p__Verrucomicrobia;c__Verruco-5	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae]	k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria]	k__Bacteria;p__WPS-2;c__	k__Bacteria;p__WYO;c__
Varecia variegata	birth	Titan	9.67E-05	0	0	0	0	0	0	0	0.001160736	0.000383644	0	0	0	0	0	0	0	0	0	0	0.000898923	0	0	0	0	0	0	0.141357302	1.60E-05	0	0	0	0	0	0	0	0	1.60E-05	1.29E-05	0	0	0	0	0	0.000476464	0.001171466	0	0.000116445	0	0.000213106	0	0	0.041566664	0.008966094	0.00401272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181136	0	0	0.000334143	0.000289985	0.007037407	0.000414069	0	0.788469504	0	0	0.002059703	0	0	0	0	0.000321956	0	0	0	0	0	0	0.000426963	0	0
Varecia variegata	nursing	Carmen	0.000417567	0	1.12E-05	0	0	0	1.20E-05	0	0.00420299	1.12E-05	0	0	0	0	2.39E-05	0	0	0	0	0	0.002209698	0	0	0	0	0	1.12E-05	0.516927116	0	2.25E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.16E-05	1.20E-05	0	0	2.25E-05	2.32E-05	0	0.000443701	0.034293747	0.042884535	0.000428066	0	6.74E-05	0	0	0	1.12E-05	0	0	0	0	0	0	0	0	0	1.12E-05	0	5.84E-05	4.57E-05	0.00107101	0.012410295	0	0.384125957	0	0	4.57E-05	0	0	0	0	5.84E-05	1.12E-05	0	2.25E-05	2.25E-05	0	0	0	0	0
Varecia variegata	intro solids	Puck	0.000142598	0	0	0	0.00072702	0	0	1.41E-05	0.001892597	1.61E-05	0	0	0	0.00056417	0.000290145	0	0	0	0	0	0.168377393	0	0	0.000644766	0	0	1.41E-05	0.265070827	1.41E-05	0.000756784	0.00014673	0	0	0	0	0	0	0	0	0	0	0	0	0	4.42E-05	0.000419098	0	0	0	1.61E-05	0	0.000142598	0.19344863	0.055960214	0.008066765	0	0.000196745	3.22E-05	0	0	0.00043565	4.22E-05	0.000252958	0	2.81E-05	8.43E-05	0	0	0	0	0	0	0.000237247	0.00087375	0.006732549	0.0197749	0	0.266614592	0	0	0.000575341	0.001547055	0	0	0	0.000631554	9.05E-05	3.02E-05	0.000154586	0.000132677	0.004250991	0	0.000512931	0	0
Varecia variegata	regular solids	Titan	0.000256215	0	0	0	0.000839088	7.65E-06	0.001669011	0	0.010336321	0	0	0	0	0	7.65E-06	0	0	0	0	0	0.007046744	0	0	0	0	0	0.000452775	0.397699084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005244704	0.000126222	0	0	0.000434182	0.001441025	0.001699334	0.000665572	0.008537733	0.256946879	0.02500618	0	4.54E-05	0	0	0	0	0.004466789	0	0	0	0	0	0	0	0	0	0	0.000938127	0.004845191	0.017407732	0.008086843	0	0.076963572	0	2.92E-05	0.126610791	0.000296438	0	0	0.000139158	0.028106996	0	3.06E-05	0.000642632	2.15E-05	0.012945498	0	7.18E-06	0	0
Varecia variegata	weaning	Carmen	0.000112048	0	0	0	0.00053409	3.73E-05	0.002789281	0	0.011351225	0	0	0	0	0	0	0	0	0	0	0	0.00508283	0	0	0	0	0	0.000337178	0.43933828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013250039	9.27E-06	0	0	0.002520085	0.00556313	0.003825974	0.000515139	0.014686719	0.196864896	0.011435012	0.000159424	9.48E-06	0	0	0	0	0.00227497	0	0	0	0	0	0	0	0	0	0	0.002429264	0.006234632	0.013431931	0.005313298	0	0.163909071	0	0	0.088670546	1.85E-05	0	0	0	0.006215432	0	0	0.000796914	9.27E-06	0.002274763	0	0	0	0
Varecia variegata	weaned	Puck	5.61E-05	0	0	0	8.25E-05	0	0.000129456	0	0.006367123	0	0	0	0	0	0	0	0	0	0	0	2.06E-05	0	0	0	0	0	0.000217654	0.465984554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009852896	1.15E-05	0	0	0.00034711	0.000286357	0.000436443	0.00068277	0.005731478	0.276614767	0.052357375	0	0	0	0	0	0	3.09E-05	0	0	0	0	0	0	0	0	0	0	0.000217654	0.000986442	0.008944801	0.003914265	0	0.122550358	0	0	0.025784844	0	0	0	2.06E-05	0.015295447	0	0	0.002826183	3.21E-05	0.000197024	0	2.06E-05	0	0
Varecia variegata	parturition	Pyxis	0.000287715	0	0	0	0.003116544	0.000204583	0.001760331	0	0.018600697	0	0	0	0	0	0	0	0	0	0	0	3.46E-05	0	0	0	0	0	0.000410273	0.292128881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00309582	3.93E-05	0	0	0.001815961	0.006303767	0.006143611	0.000996521	0.000398493	0.307466049	0.017863231	0.00030012	1.29E-05	0	0	0	0	0.002065499	0	0	0	0	0	0	0	0	0	0	0.002554335	0.003451089	0.007157487	0.007009494	0	0.102546198	0	8.80E-06	0.195195256	0.000320073	0	0	6.98E-05	0.009477908	0	8.80E-06	0.000190592	0	0.008965372	0	0	0	0
Lemur catta	birth	Jones	0.00014861	0	0	0	0	0	0	0	0.000438382	0	0	0	0	0	0	0	0	0	0	0	0.000116644	0	0	0	0	0	0	0.000627824	1.86E-05	4.90E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010575026	0.000554273	2.45E-05	0	0.000245924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000906468	7.36E-05	0.010968806	0	0	0.975110448	0	0	3.72E-05	0	0	0	0	4.31E-05	0	0	0	3.72E-05	0	0	2.45E-05	0	0
Lemur catta	nursing	Izze	5.60E-05	0	0	0	0	0	0	0	0.001808096	0	0	0	0	0	0	0	0	0	0	0	0.000138871	0	0	0	0	0	3.98E-05	0.032764413	0.000938535	3.23E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18E-05	0	0	0	0	0	4.41E-05	0.024941491	0.00017649	0.002284852	0	0.03967103	0.000216316	0	0	0	1.18E-05	0	0	0	0	0	0	0	0	0	0	0.009545699	1.18E-05	0.147963135	1.18E-05	0	0.739244302	0	0	2.80E-05	0	0	0	2.37E-05	1.18E-05	0	0	1.18E-05	1.18E-05	0	0	0	0	0
Lemur catta	intro solids	Jones	0.000164694	0	0	0	0	0	1.11E-05	0	0.005454443	0	3.56E-05	0	0	0	0	0	0	0	0	0	0.058119555	0	0	1.11E-05	0	1.11E-05	1.33E-05	0.234347088	0.00028029	3.56E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33E-05	4.67E-05	0.010420636	0	0	0	1.11E-05	0	0.000438238	0.015570001	0.329092139	0.014916852	0	0.007250866	6.23E-05	0	0	1.11E-05	0	0	0	0	0	0	0	0	0	2.67E-05	0	0.000155752	0.000818758	0.008454214	0	0	0.314116038	0	0	0	0	0	0	3.56E-05	0	1.33E-05	0	0	2.23E-05	0	0	0	0	0
